AUD	CAD	EUR	JPY	NZD	NOK	SEK	CHF	GBP
0.10968346	0.14158095	-0.02974426	-0.14954306	0.23301227	0.02456934	-0.01712114	0.00951044	0.08032495
-0.06318640	0.18206834	0.00595331	0.24385284	-0.18836449	-0.03020126	0.07991870	0.07114726	0.05547150
0.08419276	-0.04771063	0.06978470	-0.12772981	0.00000000	-0.11438386	-0.17262152	-0.11716726	0.13655988
0.02936229	-0.16450414	0.04881509	-0.15408185	0.26528134	-0.11273774	-0.01616201	0.01588404	0.02742648
-0.06929818	-0.09321239	-0.00738658	0.10102249	0.02847446	-0.01486359	0.01885408	-0.02224211	0.15726253
0.00000000	0.03517024	-0.06366691	-0.01959298	0.08947097	0.02152863	-0.04798724	-0.01272378	0.01639733
-0.03159946	0.00484496	-0.02821344	0.22801402	-0.10917861	0.02359079	0.05821294	0.03020235	-0.07392174
0.05052898	-0.01817623	-0.07597968	-0.08304034	0.05249945	-0.00095056	-0.02279260	0.03489950	-0.01837584
0.03149913	-0.07656823	0.18558205	-0.11140051	0.02618476	-0.16377339	-0.04316220	-0.14165946	-0.07307987
-0.00209800	0.07171772	0.05157654	-0.08406643	0.02396481	-0.06062396	-0.15072595	-0.05445256	0.23707418
0.15035163	-0.08512473	0.02645997	-0.07039705	0.01740626	-0.07208714	-0.02255987	-0.02568951	0.02382713
0.03114482	-0.01830055	-0.09871414	0.07039705	-0.03047349	0.09751965	0.07537724	0.14555800	-0.22972178
0.02487193	0.13734777	-0.04291810	-0.06334328	0.00000000	0.02346963	0.04704258	-0.03666354	-0.01208275
0.01242137	0.06039616	-0.05492658	-0.09903914	0.04568833	0.12274486	0.15998315	0.07483108	-0.12582407
-0.08091317	-0.01206086	-0.01487770	0.07786842	-0.00217266	0.01429990	0.02216237	-0.00158848	0.14299155
-0.01456663	-0.01931646	0.04013784	-0.03110155	-0.15282962	-0.03567843	-0.07178228	-0.00635552	0.08366365
0.04158354	-0.08114395	-0.09381332	0.21364987	-0.11228116	0.13030442	0.12224693	0.05552474	-0.13330932
0.04147490	-0.00364303	0.00000000	0.02789897	0.01545824	-0.00833785	-0.02547976	0.00633334	0.09786949
0.02690069	0.02669617	-0.00896358	-0.03208804	-0.02429828	-0.03168584	0.01336861	0.01107726	-0.08194050
-0.01447932	-0.01091573	-0.10194261	0.09190530	-0.05758059	0.05403657	0.05833346	0.08834093	-0.04911257
